amt,category,merchant,payment_method,distance_km,hour,is_international,cvv_matches,is_fraud
49.49,misc_net,Starbucks,Credit_Card,19.6,19,0,1,0
343.94,travel,Steam,Credit_Card,4286.19,19,1,0,1
31.88,misc_net,Starbucks,Digital_Wallet,16.7,8,0,1,0
9.58,gas_transport,Amazon,Credit_Card,15.0,8,0,1,0
45.05,gas_transport,Amazon,Credit_Card,2.58,14,0,1,0
79.06,grocery_pos,Chevron,Credit_Card,14.53,21,0,1,0
99.27,travel,Walmart,Credit_Card,29.52,15,0,1,0
579.62,travel,Amazon,Credit_Card,2175.71,7,1,0,1
76.42,grocery_pos,Amazon,Debit_Card,9.32,21,0,1,0
53.77,gas_transport,Amazon,Credit_Card,5.29,18,0,1,0
6221.4,misc_net,Steam,Wire_Transfer,342.35,11,1,0,1
16.61,grocery_pos,Starbucks,Credit_Card,19.96,18,0,1,0
1063.96,shopping_net,Starbucks,Digital_Wallet,43.19,2,0,0,1
5321.84,misc_net,Unknown_Foreign_Store,Wire_Transfer,470.24,16,1,0,1
30.15,entertainment,Chevron,Credit_Card,2.3,19,0,1,0
22.52,gas_transport,Starbucks,Credit_Card,13.74,8,0,1,0
20.83,entertainment,Starbucks,Credit_Card,23.53,14,0,1,0
4838.78,misc_net,Walmart,Wire_Transfer,348.32,14,1,0,1
469.05,travel,Steam,Credit_Card,1442.37,7,1,1,1
87.67,grocery_pos,Starbucks,Debit_Card,10.79,14,0,1,0
38.27,gas_transport,Amazon,Credit_Card,15.85,10,0,1,0
20.09,gas_transport,Starbucks,Credit_Card,2.04,16,0,1,0
35.85,gas_transport,Chevron,Debit_Card,10.87,13,0,1,0
283.61,travel,Amazon,Credit_Card,3379.53,18,1,0,1
3808.79,misc_net,Unknown_Foreign_Store,Wire_Transfer,359.12,15,1,1,1
141.26,travel,Delta Air,Credit_Card,1557.63,11,1,0,1
3023.36,misc_net,Delta Air,Wire_Transfer,447.78,14,1,1,1
47.78,gas_transport,Chevron,Debit_Card,17.65,14,0,1,0
69.98,gas_transport,Walmart,Credit_Card,13.56,19,0,1,0
298.74,travel,Amazon,Credit_Card,3606.3,3,1,1,1
44.42,grocery_pos,Chevron,Credit_Card,18.2,10,0,1,0
50.74,grocery_pos,Starbucks,Credit_Card,18.06,15,0,1,0
64.92,gas_transport,Chevron,Credit_Card,14.32,20,0,1,0
40.16,gas_transport,Starbucks,Debit_Card,22.14,13,0,1,0
53.94,grocery_pos,Chevron,Digital_Wallet,28.36,9,0,1,0
5500.11,misc_net,Walmart,Wire_Transfer,447.9,13,1,0,1
57.92,entertainment,Starbucks,Credit_Card,20.03,18,0,1,0
128.73,travel,Starbucks,Credit_Card,1794.86,9,1,0,1
1315.0,shopping_net,Unknown_Foreign_Store,Digital_Wallet,26.48,1,0,1,1
5646.29,misc_net,Chevron,Wire_Transfer,349.76,14,1,1,1
377.21,travel,Starbucks,Credit_Card,3599.1,14,1,0,1
648.01,travel,Unknown_Foreign_Store,Credit_Card,2436.57,2,1,1,1
4750.08,misc_net,Amazon,Wire_Transfer,393.66,9,1,1,1
13.68,grocery_pos,Walmart,Credit_Card,15.12,12,0,1,0
78.7,entertainment,Chevron,Credit_Card,2.77,12,0,1,0
1124.76,shopping_net,Steam,Digital_Wallet,28.3,1,0,1,1
20.32,grocery_pos,Walmart,Debit_Card,13.45,12,0,1,0
43.44,misc_net,Chevron,Credit_Card,27.84,18,0,1,0
5231.94,misc_net,Walmart,Wire_Transfer,490.99,15,1,0,1
334.97,travel,Chevron,Credit_Card,4178.06,12,1,1,1
921.26,shopping_net,Amazon,Digital_Wallet,41.39,1,0,0,1
1218.04,shopping_net,Starbucks,Digital_Wallet,11.16,1,0,1,1
59.22,gas_transport,Starbucks,Credit_Card,27.95,12,0,1,0
449.1,travel,Chevron,Credit_Card,3303.53,2,1,0,1
84.34,entertainment,Amazon,Credit_Card,25.61,8,0,1,0
1621.01,shopping_net,Steam,Digital_Wallet,18.25,23,0,0,1
71.39,travel,Amazon,Credit_Card,28.81,16,0,1,0
32.25,shopping_net,Amazon,Debit_Card,8.35,12,0,1,0
4761.38,misc_net,Starbucks,Wire_Transfer,404.79,13,1,0,1
1141.94,shopping_net,Delta Air,Digital_Wallet,32.12,0,0,0,1
